ROW_ID,iqr_outlier_count,zscore_outlier_count,is_iqr_outlier,is_zscore_outlier,is_statistical_outlier,statistical_method
0,3,2,True,False,True,IQR
1,2,0,False,False,False,None
2,2,1,False,False,False,None
3,1,0,False,False,False,None
4,0,0,False,False,False,None
5,5,3,True,True,True,Both
6,3,0,True,False,True,IQR
7,1,0,False,False,False,None
8,10,2,True,False,True,IQR
9,2,1,False,False,False,None
10,3,1,True,False,True,IQR
11,6,0,True,False,True,IQR
12,4,0,True,False,True,IQR
13,1,0,False,False,False,None
14,3,0,True,False,True,IQR
15,4,0,True,False,True,IQR
16,1,0,False,False,False,None
17,3,1,True,False,True,IQR
18,3,1,True,False,True,IQR
19,0,0,False,False,False,None
20,4,1,True,False,True,IQR
21,5,0,True,False,True,IQR
22,0,0,False,False,False,None
23,2,0,False,False,False,None
24,1,0,False,False,False,None
25,2,1,False,False,False,None
26,2,0,False,False,False,None
27,1,0,False,False,False,None
28,8,2,True,False,True,IQR
29,4,1,True,False,True,IQR
30,2,2,False,False,False,None
31,2,0,False,False,False,None
32,0,0,False,False,False,None
33,1,0,False,False,False,None
34,3,0,True,False,True,IQR
35,5,1,True,False,True,IQR
36,6,0,True,False,True,IQR
37,3,0,True,False,True,IQR
38,2,0,False,False,False,None
39,1,1,False,False,False,None
40,1,0,False,False,False,None
41,4,0,True,False,True,IQR
42,5,0,True,False,True,IQR
43,1,0,False,False,False,None
44,1,0,False,False,False,None
45,3,1,True,False,True,IQR
46,1,0,False,False,False,None
47,0,0,False,False,False,None
48,3,0,True,False,True,IQR
49,6,1,True,False,True,IQR
50,3,1,True,False,True,IQR
51,4,2,True,False,True,IQR
52,3,0,True,False,True,IQR
53,3,0,True,False,True,IQR
54,3,0,True,False,True,IQR
55,8,1,True,False,True,IQR
56,6,1,True,False,True,IQR
57,2,1,False,False,False,None
58,1,1,False,False,False,None
59,3,0,True,False,True,IQR
60,1,1,False,False,False,None
61,7,1,True,False,True,IQR
62,4,0,True,False,True,IQR
63,4,0,True,False,True,IQR
64,2,0,False,False,False,None
65,9,3,True,True,True,Both
66,5,1,True,False,True,IQR
67,3,1,True,False,True,IQR
68,2,1,False,False,False,None
69,2,0,False,False,False,None
70,12,2,True,False,True,IQR
71,4,0,True,False,True,IQR
72,4,0,True,False,True,IQR
73,0,0,False,False,False,None
74,7,0,True,False,True,IQR
75,2,0,False,False,False,None
76,1,1,False,False,False,None
77,2,0,False,False,False,None
78,1,0,False,False,False,None
79,2,0,False,False,False,None
80,4,1,True,False,True,IQR
81,4,1,True,False,True,IQR
82,1,0,False,False,False,None
83,2,1,False,False,False,None
84,3,1,True,False,True,IQR
85,8,2,True,False,True,IQR
86,7,0,True,False,True,IQR
87,2,0,False,False,False,None
88,5,0,True,False,True,IQR
89,8,3,True,True,True,Both
90,5,0,True,False,True,IQR
91,1,1,False,False,False,None
92,2,1,False,False,False,None
93,2,0,False,False,False,None
94,2,0,False,False,False,None
95,7,1,True,False,True,IQR
96,4,0,True,False,True,IQR
97,4,1,True,False,True,IQR
98,15,2,True,False,True,IQR
99,3,1,True,False,True,IQR
100,2,1,False,False,False,None
101,2,0,False,False,False,None
102,5,1,True,False,True,IQR
103,5,0,True,False,True,IQR
104,2,0,False,False,False,None
105,4,1,True,False,True,IQR
106,1,0,False,False,False,None
107,4,1,True,False,True,IQR
108,9,1,True,False,True,IQR
109,3,1,True,False,True,IQR
110,0,0,False,False,False,None
111,8,1,True,False,True,IQR
112,2,0,False,False,False,None
113,4,0,True,False,True,IQR
114,3,1,True,False,True,IQR
115,2,0,False,False,False,None
116,2,0,False,False,False,None
117,9,2,True,False,True,IQR
118,3,0,True,False,True,IQR
119,10,1,True,False,True,IQR
120,4,1,True,False,True,IQR
121,2,0,False,False,False,None
122,7,2,True,False,True,IQR
123,4,2,True,False,True,IQR
124,5,1,True,False,True,IQR
125,4,1,True,False,True,IQR
126,1,0,False,False,False,None
127,10,0,True,False,True,IQR
128,3,1,True,False,True,IQR
129,3,1,True,False,True,IQR
130,3,0,True,False,True,IQR
131,6,0,True,False,True,IQR
132,2,1,False,False,False,None
133,0,0,False,False,False,None
134,7,1,True,False,True,IQR
135,3,0,True,False,True,IQR
136,0,0,False,False,False,None
137,1,0,False,False,False,None
138,2,0,False,False,False,None
139,0,0,False,False,False,None
140,8,0,True,False,True,IQR
141,4,1,True,False,True,IQR
142,1,0,False,False,False,None
143,3,0,True,False,True,IQR
144,5,1,True,False,True,IQR
145,6,0,True,False,True,IQR
146,10,1,True,False,True,IQR
147,2,1,False,False,False,None
148,1,0,False,False,False,None
149,5,1,True,False,True,IQR
150,1,0,False,False,False,None
151,2,0,False,False,False,None
152,8,0,True,False,True,IQR
153,3,0,True,False,True,IQR
154,2,0,False,False,False,None
155,8,1,True,False,True,IQR
156,1,0,False,False,False,None
157,2,0,False,False,False,None
158,6,0,True,False,True,IQR
159,4,1,True,False,True,IQR
160,3,0,True,False,True,IQR
161,4,1,True,False,True,IQR
162,1,0,False,False,False,None
163,1,0,False,False,False,None
164,9,1,True,False,True,IQR
165,5,1,True,False,True,IQR
166,2,0,False,False,False,None
167,2,0,False,False,False,None
168,8,2,True,False,True,IQR
169,6,0,True,False,True,IQR
170,4,1,True,False,True,IQR
171,0,0,False,False,False,None
172,9,0,True,False,True,IQR
173,1,0,False,False,False,None
174,2,0,False,False,False,None
175,1,0,False,False,False,None
176,8,5,True,True,True,Both
177,3,1,True,False,True,IQR
178,0,0,False,False,False,None
179,1,0,False,False,False,None
180,2,2,False,False,False,None
181,0,0,False,False,False,None
182,8,1,True,False,True,IQR
183,11,4,True,True,True,Both
184,2,0,False,False,False,None
185,1,0,False,False,False,None
186,4,1,True,False,True,IQR
187,6,0,True,False,True,IQR
188,5,2,True,False,True,IQR
189,2,0,False,False,False,None
190,6,0,True,False,True,IQR
191,12,2,True,False,True,IQR
192,9,4,True,True,True,Both
193,4,0,True,False,True,IQR
194,3,1,True,False,True,IQR
195,1,0,False,False,False,None
196,8,1,True,False,True,IQR
197,6,5,True,True,True,Both
198,3,1,True,False,True,IQR
199,1,0,False,False,False,None
200,2,1,False,False,False,None
201,2,1,False,False,False,None
202,5,2,True,False,True,IQR
203,3,0,True,False,True,IQR
204,0,0,False,False,False,None
205,2,0,False,False,False,None
206,4,0,True,False,True,IQR
207,2,0,False,False,False,None
208,1,0,False,False,False,None
209,3,0,True,False,True,IQR
210,5,0,True,False,True,IQR
211,0,0,False,False,False,None
212,5,1,True,False,True,IQR
213,2,0,False,False,False,None
214,3,1,True,False,True,IQR
215,6,1,True,False,True,IQR
216,4,0,True,False,True,IQR
217,0,0,False,False,False,None
218,4,1,True,False,True,IQR
219,2,0,False,False,False,None
220,8,1,True,False,True,IQR
221,5,0,True,False,True,IQR
222,9,0,True,False,True,IQR
223,9,2,True,False,True,IQR
224,2,0,False,False,False,None
225,1,0,False,False,False,None
226,3,0,True,False,True,IQR
227,9,2,True,False,True,IQR
228,1,0,False,False,False,None
229,9,0,True,False,True,IQR
230,5,1,True,False,True,IQR
231,1,0,False,False,False,None
232,0,0,False,False,False,None
233,6,1,True,False,True,IQR
234,8,2,True,False,True,IQR
235,14,4,True,True,True,Both
236,2,0,False,False,False,None
237,2,1,False,False,False,None
238,2,0,False,False,False,None
239,4,0,True,False,True,IQR
240,2,0,False,False,False,None
241,0,0,False,False,False,None
242,4,1,True,False,True,IQR
243,1,0,False,False,False,None
244,7,0,True,False,True,IQR
245,3,1,True,False,True,IQR
246,1,0,False,False,False,None
247,3,0,True,False,True,IQR
248,3,0,True,False,True,IQR
249,2,0,False,False,False,None
250,12,2,True,False,True,IQR
251,2,0,False,False,False,None
252,2,1,False,False,False,None
253,2,0,False,False,False,None
254,1,0,False,False,False,None
255,3,0,True,False,True,IQR
256,7,1,True,False,True,IQR
257,2,0,False,False,False,None
258,5,2,True,False,True,IQR
259,8,3,True,True,True,Both
260,7,1,True,False,True,IQR
261,7,1,True,False,True,IQR
262,9,1,True,False,True,IQR
263,9,1,True,False,True,IQR
264,3,2,True,False,True,IQR
265,4,0,True,False,True,IQR
266,12,2,True,False,True,IQR
267,2,0,False,False,False,None
268,2,0,False,False,False,None
269,2,0,False,False,False,None
270,7,3,True,True,True,Both
271,2,0,False,False,False,None
272,4,1,True,False,True,IQR
273,6,1,True,False,True,IQR
274,8,5,True,True,True,Both
275,3,0,True,False,True,IQR
276,5,3,True,True,True,Both
