precision,recall,threshold
0.08072881945686496,1.0,0.06029356883787452
0.08192408212324076,0.944491440080564,0.06111521933232626
0.08357142048392392,0.891963746223565,0.06117045678912391
0.08554614670685733,0.8391137965760322,0.061406240502249035
0.08797375502893608,0.787472306143001,0.06189861341059003
0.09112080934347833,0.7376032225579053,0.08423094495854715
0.09159801392471777,0.6650956696878148,0.08430068185290712
0.09176460990717486,0.6343605236656596,0.08433302635970645
0.09248478257986659,0.561852970795569,0.0848374290659559
0.09287629395579262,0.5316414904330312,0.0848704270584618
0.09434600967651381,0.4603021148036254,0.08503718952187313
0.09654437115127842,0.39029204431017117,0.0852348279256893
0.09768441259557388,0.36076535750251765,0.0853903999276769
0.10217219811799177,0.29216515609264854,0.0854252743555712
0.10474279752828826,0.26288016112789525,0.08562188853843246
0.10834830115252207,0.23327291037260825,0.10537072065715088
0.10760953112990007,0.191742195367573,0.10666557508110919
0.1078737227739775,0.15182275931520645,0.10671448561389288
0.10841011566359537,0.11137965760322256,0.10694503709519543
0.11010942551604079,0.07133937562940584,0.10744717858577933
0.11906841339155749,0.03295065458207452,0.11632489520203146
0.11761507792678506,0.026143001007049346,0.1167010632165201
0.11572843682048804,0.01929506545820745,0.11816598230779725
0.11501254030813328,0.012930513595166164,0.11845101894204386
0.11414900888585099,0.006727089627391742,0.11898445093565449
1.0,0.0,
