ROW_ID,iqr_outlier_count,zscore_outlier_count,is_iqr_outlier,is_zscore_outlier,is_statistical_outlier,statistical_method,is_isolation_outlier,isolation_score,CLUSTER_KMEANS,IS_OUTLIER,detection_count,anomaly_category,phase2_validated
155277,4,1,True,False,True,IQR,False,-0.42261554285730113,2,0,1,WEAK_SIGNAL,False
340369,5,1,True,False,True,IQR,False,-0.4137666747335633,1,0,1,WEAK_SIGNAL,False
66294,9,2,True,False,True,IQR,False,-0.4585500204252833,4,0,1,WEAK_SIGNAL,False
35578,6,0,True,False,True,IQR,False,-0.4406220788052331,1,0,1,WEAK_SIGNAL,False
145041,9,3,True,True,True,Both,True,-0.4778623287484188,2,0,3,HIGH_CONFIDENCE_ANOMALY,False
89528,13,2,True,False,True,IQR,False,-0.4735557569207764,4,0,1,WEAK_SIGNAL,False
153273,7,0,True,False,True,IQR,False,-0.39207119168931703,1,0,1,WEAK_SIGNAL,False
175170,8,2,True,False,True,IQR,False,-0.40778150803463153,1,0,1,WEAK_SIGNAL,False
348204,1,0,False,False,False,None,False,-0.38651602532877327,1,0,0,NORMAL,False
144115,11,0,True,False,True,IQR,False,-0.4481477501787996,1,0,1,WEAK_SIGNAL,False
220776,8,2,True,False,True,IQR,False,-0.47480285983016424,0,0,1,WEAK_SIGNAL,False
329821,6,0,True,False,True,IQR,False,-0.38016129480002747,0,0,1,WEAK_SIGNAL,False
161279,3,0,True,False,True,IQR,False,-0.40117353820627244,2,0,1,WEAK_SIGNAL,False
88320,3,1,True,False,True,IQR,False,-0.4108596652665504,0,0,1,WEAK_SIGNAL,False
246702,5,1,True,False,True,IQR,False,-0.4249981294802656,2,0,1,WEAK_SIGNAL,False
85601,4,2,True,False,True,IQR,False,-0.4186337339368314,0,0,1,WEAK_SIGNAL,False
341993,9,1,True,False,True,IQR,False,-0.4119479667273305,1,0,1,WEAK_SIGNAL,False
331306,3,0,True,False,True,IQR,False,-0.4033751626120355,0,0,1,WEAK_SIGNAL,False
30515,4,1,True,False,True,IQR,False,-0.40793072331600655,0,0,1,WEAK_SIGNAL,False
852,5,0,True,False,True,IQR,False,-0.4531124572762655,1,0,1,WEAK_SIGNAL,False
59503,4,1,True,False,True,IQR,False,-0.408239982856749,2,0,1,WEAK_SIGNAL,False
321416,10,1,True,False,True,IQR,False,-0.43974152546323775,4,0,1,WEAK_SIGNAL,False
140163,2,1,False,False,False,None,False,-0.415602202548694,2,0,0,NORMAL,False
158161,6,1,True,False,True,IQR,False,-0.44835649407790157,1,0,1,WEAK_SIGNAL,False
347421,2,0,False,False,False,None,False,-0.38346908719856543,1,0,0,NORMAL,False
11934,1,1,False,False,False,None,False,-0.38974121881455764,0,0,0,NORMAL,False
101892,7,1,True,False,True,IQR,False,-0.4156015527123363,1,0,1,WEAK_SIGNAL,False
138270,5,2,True,False,True,IQR,False,-0.4096334269665041,4,0,1,WEAK_SIGNAL,False
56483,4,2,True,False,True,IQR,False,-0.41575919217871127,0,0,1,WEAK_SIGNAL,False
167015,4,1,True,False,True,IQR,False,-0.41592543393269327,0,0,1,WEAK_SIGNAL,False
140481,4,0,True,False,True,IQR,False,-0.4044809486419927,0,0,1,WEAK_SIGNAL,False
261180,6,0,True,False,True,IQR,False,-0.41448720154906704,4,0,1,WEAK_SIGNAL,False
183100,11,4,True,True,True,Both,True,-0.5104456022125315,3,0,3,HIGH_CONFIDENCE_ANOMALY,False
48725,2,0,False,False,False,None,False,-0.3901604450890295,2,0,0,NORMAL,False
587,3,1,True,False,True,IQR,False,-0.4444986445370573,2,0,1,WEAK_SIGNAL,False
13087,3,1,True,False,True,IQR,False,-0.3915790632761137,0,0,1,WEAK_SIGNAL,False
354945,3,0,True,False,True,IQR,False,-0.39208778870489047,0,0,1,WEAK_SIGNAL,False
284085,5,2,True,False,True,IQR,False,-0.44887113704627923,1,0,1,WEAK_SIGNAL,False
170544,1,0,False,False,False,None,False,-0.3912194728779684,0,0,0,NORMAL,False
38679,2,0,False,False,False,None,False,-0.4132499943363961,2,0,0,NORMAL,False
40728,3,2,True,False,True,IQR,False,-0.4090891004670502,2,0,1,WEAK_SIGNAL,False
238655,5,1,True,False,True,IQR,False,-0.439279457350511,2,0,1,WEAK_SIGNAL,False
333570,4,1,True,False,True,IQR,False,-0.43322494809313594,1,0,1,WEAK_SIGNAL,False
15562,4,0,True,False,True,IQR,False,-0.39640330275854785,2,0,1,WEAK_SIGNAL,False
178122,2,1,False,False,False,None,False,-0.4116754761550495,0,0,0,NORMAL,False
332949,7,3,True,True,True,Both,False,-0.45139592154662883,4,0,2,MODERATE_ANOMALY,False
215550,2,0,False,False,False,None,False,-0.378172523548447,0,0,0,NORMAL,False
263692,4,0,True,False,True,IQR,False,-0.42047999931025165,2,0,1,WEAK_SIGNAL,False
203290,9,2,True,False,True,IQR,False,-0.47386081982543726,4,0,1,WEAK_SIGNAL,False
96665,7,1,True,False,True,IQR,False,-0.40518074837346707,4,0,1,WEAK_SIGNAL,False
310317,3,0,True,False,True,IQR,False,-0.3899608850992331,0,0,1,WEAK_SIGNAL,False
92759,4,0,True,False,True,IQR,False,-0.39596890031086174,2,0,1,WEAK_SIGNAL,False
158359,13,2,True,False,True,IQR,True,-0.4815042187708855,4,0,2,MODERATE_ANOMALY,False
192014,10,1,True,False,True,IQR,False,-0.4320392618637497,4,0,1,WEAK_SIGNAL,False
312095,4,0,True,False,True,IQR,False,-0.4122389367855123,2,0,1,WEAK_SIGNAL,False
33594,5,2,True,False,True,IQR,False,-0.4454019295889433,2,0,1,WEAK_SIGNAL,False
32377,4,1,True,False,True,IQR,False,-0.43356951760199575,1,0,1,WEAK_SIGNAL,False
195435,4,2,True,False,True,IQR,False,-0.43508577186546626,2,0,1,WEAK_SIGNAL,False
115895,8,2,True,False,True,IQR,False,-0.4466704986391455,1,0,1,WEAK_SIGNAL,False
210538,3,0,True,False,True,IQR,False,-0.4030740965875741,1,0,1,WEAK_SIGNAL,False
205387,5,1,True,False,True,IQR,False,-0.4304333060164441,2,0,1,WEAK_SIGNAL,False
223951,6,1,True,False,True,IQR,False,-0.4256048356077696,2,0,1,WEAK_SIGNAL,False
257414,2,1,False,False,False,None,False,-0.40167915387873165,2,0,0,NORMAL,False
187879,5,2,True,False,True,IQR,False,-0.3980687408948504,2,0,1,WEAK_SIGNAL,False
206374,4,1,True,False,True,IQR,False,-0.40512715506437963,1,0,1,WEAK_SIGNAL,False
308880,0,0,False,False,False,None,False,-0.38274865750927056,2,0,0,NORMAL,False
126517,5,2,True,False,True,IQR,False,-0.4369008176587117,0,0,1,WEAK_SIGNAL,False
307706,5,1,True,False,True,IQR,False,-0.4413679239151561,0,0,1,WEAK_SIGNAL,False
157363,8,4,True,True,True,Both,False,-0.45918890803821205,4,0,2,MODERATE_ANOMALY,False
201515,5,2,True,False,True,IQR,False,-0.4767222610987213,0,0,1,WEAK_SIGNAL,False
180797,8,2,True,False,True,IQR,False,-0.47419460055018464,4,0,1,WEAK_SIGNAL,False
231235,3,3,True,True,True,Both,False,-0.4376514340655404,2,0,2,MODERATE_ANOMALY,False
215743,5,1,True,False,True,IQR,False,-0.41376359099883964,0,0,1,WEAK_SIGNAL,False
3950,7,2,True,False,True,IQR,False,-0.4460155618969919,4,0,1,WEAK_SIGNAL,False
82056,4,2,True,False,True,IQR,False,-0.44429937142170306,2,0,1,WEAK_SIGNAL,False
344978,6,2,True,False,True,IQR,False,-0.4221348341158895,0,0,1,WEAK_SIGNAL,False
160234,9,1,True,False,True,IQR,False,-0.44875110442666455,2,0,1,WEAK_SIGNAL,False
154846,3,0,True,False,True,IQR,False,-0.4013532992032729,0,0,1,WEAK_SIGNAL,False
266807,12,3,True,True,True,Both,True,-0.49188052075095295,4,0,3,HIGH_CONFIDENCE_ANOMALY,False
117153,2,0,False,False,False,None,False,-0.3860130900170472,2,0,0,NORMAL,False
193656,3,1,True,False,True,IQR,False,-0.4151565577022097,0,0,1,WEAK_SIGNAL,False
352233,6,2,True,False,True,IQR,False,-0.4456735316838824,4,0,1,WEAK_SIGNAL,False
134654,1,1,False,False,False,None,False,-0.37607671979301255,0,0,0,NORMAL,False
202061,1,1,False,False,False,None,False,-0.3804571457940736,0,0,0,NORMAL,False
128368,2,1,False,False,False,None,False,-0.39388775752205923,0,0,0,NORMAL,False
41539,7,1,True,False,True,IQR,False,-0.407621054572973,4,0,1,WEAK_SIGNAL,False
45574,8,2,True,False,True,IQR,True,-0.4806799352499146,0,0,2,MODERATE_ANOMALY,False
45882,5,0,True,False,True,IQR,False,-0.40217799292409606,0,0,1,WEAK_SIGNAL,False
77854,0,0,False,False,False,None,False,-0.3686167307552941,2,0,0,NORMAL,False
291647,3,1,True,False,True,IQR,False,-0.40028047306815434,2,0,1,WEAK_SIGNAL,False
236948,8,3,True,True,True,Both,False,-0.44144440211468927,1,0,2,MODERATE_ANOMALY,False
47977,4,2,True,False,True,IQR,False,-0.4358446865748248,0,0,1,WEAK_SIGNAL,False
259456,2,0,False,False,False,None,False,-0.38973371475565355,0,0,0,NORMAL,False
318188,2,0,False,False,False,None,False,-0.4073390428587332,0,0,0,NORMAL,False
245918,3,1,True,False,True,IQR,False,-0.4642112221721203,0,0,1,WEAK_SIGNAL,False
2880,3,1,True,False,True,IQR,False,-0.40833573709500964,2,0,1,WEAK_SIGNAL,False
14088,2,1,False,False,False,None,False,-0.41372818755333785,2,0,0,NORMAL,False
199650,4,2,True,False,True,IQR,False,-0.43235428514861673,0,0,1,WEAK_SIGNAL,False
238170,7,2,True,False,True,IQR,False,-0.42233395530237233,0,0,1,WEAK_SIGNAL,False
210989,4,0,True,False,True,IQR,False,-0.41946899575446944,0,0,1,WEAK_SIGNAL,False
114851,2,0,False,False,False,None,False,-0.3770349606589294,0,0,0,NORMAL,False
143298,15,6,True,True,True,Both,True,-0.5365201579452283,4,0,3,HIGH_CONFIDENCE_ANOMALY,False
223684,6,0,True,False,True,IQR,False,-0.4161343137105335,1,0,1,WEAK_SIGNAL,False
294909,3,3,True,True,True,Both,False,-0.42928134955293784,2,0,2,MODERATE_ANOMALY,False
155181,1,1,False,False,False,None,False,-0.4188413675138776,2,0,0,NORMAL,False
21900,1,0,False,False,False,None,False,-0.37334994654621695,0,0,0,NORMAL,False
28286,3,0,True,False,True,IQR,False,-0.3750685872154243,2,0,1,WEAK_SIGNAL,False
78431,7,0,True,False,True,IQR,False,-0.4465744290162208,2,0,1,WEAK_SIGNAL,False
154446,10,3,True,True,True,Both,False,-0.45009804146914284,4,0,2,MODERATE_ANOMALY,False
155755,8,1,True,False,True,IQR,False,-0.45005810095106713,2,0,1,WEAK_SIGNAL,False
190719,3,0,True,False,True,IQR,False,-0.37168865446923416,0,0,1,WEAK_SIGNAL,False
202045,5,0,True,False,True,IQR,False,-0.4435404418482019,2,0,1,WEAK_SIGNAL,False
226874,3,2,True,False,True,IQR,False,-0.46541389640787834,1,0,1,WEAK_SIGNAL,False
46930,5,1,True,False,True,IQR,False,-0.4534971619069256,0,0,1,WEAK_SIGNAL,False
349562,2,1,False,False,False,None,False,-0.4014409504932278,0,0,0,NORMAL,False
177579,5,2,True,False,True,IQR,False,-0.437712900790368,2,0,1,WEAK_SIGNAL,False
37847,1,0,False,False,False,None,False,-0.3780689281388168,0,0,0,NORMAL,False
288191,5,0,True,False,True,IQR,False,-0.40227461114266344,2,0,1,WEAK_SIGNAL,False
255513,4,1,True,False,True,IQR,False,-0.42529746500235077,2,0,1,WEAK_SIGNAL,False
34703,4,1,True,False,True,IQR,False,-0.40943194979666403,2,0,1,WEAK_SIGNAL,False
13430,10,1,True,False,True,IQR,False,-0.4440344618409948,0,0,1,WEAK_SIGNAL,False
109102,4,3,True,True,True,Both,False,-0.44128384398544346,0,0,2,MODERATE_ANOMALY,False
315666,5,3,True,True,True,Both,False,-0.4360032661423809,0,0,2,MODERATE_ANOMALY,False
40030,4,3,True,True,True,Both,False,-0.45734197806863647,0,0,2,MODERATE_ANOMALY,False
234300,2,0,False,False,False,None,False,-0.3855709208775108,0,0,0,NORMAL,False
143171,2,2,False,False,False,None,False,-0.3986705905651156,2,0,0,NORMAL,False
228724,2,1,False,False,False,None,False,-0.41254176144008387,0,0,0,NORMAL,False
130489,12,3,True,True,True,Both,True,-0.5193911290029307,4,0,3,HIGH_CONFIDENCE_ANOMALY,False
300787,5,2,True,False,True,IQR,False,-0.4391098855146745,2,0,1,WEAK_SIGNAL,False
273969,5,1,True,False,True,IQR,False,-0.41431853077507363,1,0,1,WEAK_SIGNAL,False
331852,11,4,True,True,True,Both,True,-0.5171571148860584,4,0,3,HIGH_CONFIDENCE_ANOMALY,False
165228,6,3,True,True,True,Both,False,-0.44979512159481017,1,0,2,MODERATE_ANOMALY,False
43826,5,0,True,False,True,IQR,False,-0.4505748025428354,2,0,1,WEAK_SIGNAL,False
2680,5,2,True,False,True,IQR,False,-0.4185054648338016,2,0,1,WEAK_SIGNAL,False
291178,1,0,False,False,False,None,False,-0.37734714944401787,2,0,0,NORMAL,False
335715,6,0,True,False,True,IQR,False,-0.4342633622402279,0,0,1,WEAK_SIGNAL,False
215609,2,1,False,False,False,None,False,-0.4440148631006808,0,0,0,NORMAL,False
198548,6,1,True,False,True,IQR,False,-0.40096015375068084,4,0,1,WEAK_SIGNAL,False
151602,2,1,False,False,False,None,False,-0.3960045725326322,0,0,0,NORMAL,False
101598,4,0,True,False,True,IQR,False,-0.39095120986463544,1,0,1,WEAK_SIGNAL,False
72976,10,0,True,False,True,IQR,False,-0.4296123284961085,0,0,1,WEAK_SIGNAL,False
16563,2,0,False,False,False,None,False,-0.40333246696706243,0,0,0,NORMAL,False
15991,3,0,True,False,True,IQR,False,-0.4100474264094164,0,0,1,WEAK_SIGNAL,False
73231,1,1,False,False,False,None,False,-0.40607487288250604,2,0,0,NORMAL,False
163492,4,1,True,False,True,IQR,False,-0.42394971757647976,2,0,1,WEAK_SIGNAL,False
277583,4,2,True,False,True,IQR,False,-0.42306210185141535,0,0,1,WEAK_SIGNAL,False
203542,12,3,True,True,True,Both,True,-0.5100431938213711,4,0,3,HIGH_CONFIDENCE_ANOMALY,False
277019,1,0,False,False,False,None,False,-0.37909920224067384,0,0,0,NORMAL,False
229463,2,1,False,False,False,None,False,-0.4125063881029083,1,0,0,NORMAL,False
27416,4,1,True,False,True,IQR,False,-0.42760925096428143,0,0,1,WEAK_SIGNAL,False
285824,10,0,True,False,True,IQR,False,-0.4489808839280333,4,0,1,WEAK_SIGNAL,False
316858,7,2,True,False,True,IQR,False,-0.45110182831810186,4,0,1,WEAK_SIGNAL,False
111670,1,0,False,False,False,None,False,-0.3997440610268326,2,0,0,NORMAL,False
344899,6,1,True,False,True,IQR,False,-0.436018027202006,4,0,1,WEAK_SIGNAL,False
201939,7,1,True,False,True,IQR,False,-0.4325883704556157,4,0,1,WEAK_SIGNAL,False
133950,6,2,True,False,True,IQR,False,-0.43150558259245586,2,0,1,WEAK_SIGNAL,False
3701,9,2,True,False,True,IQR,False,-0.45452529575885386,4,0,1,WEAK_SIGNAL,False
351384,9,0,True,False,True,IQR,False,-0.437791746874378,4,0,1,WEAK_SIGNAL,False
132859,5,1,True,False,True,IQR,False,-0.3982671699853884,4,0,1,WEAK_SIGNAL,False
