ROW_ID,SK_ID_CURR,UMAP1,UMAP2,DBSCAN_LABEL,IS_NOISE,PORTFOLIO_DBSCAN_LABEL,PORTFOLIO_IS_NOISE,CLUSTER_KMEANS,Segment
279608,423927,-0.6550016,-3.025464,0,0,0,0,2,Lower-Intensity Credit Footprint
241764,379925,1.3738828,-4.3949804,0,0,0,0,2,Lower-Intensity Credit Footprint
99100,215060,1.2751293,-0.7306849,0,0,0,0,1,Larger-Loan Affordability
302398,450345,-1.7829583,6.2899394,1,0,0,0,4,Historical Card-Use Intensity
36954,142810,2.5610535,-1.6205175,0,0,0,0,1,Larger-Loan Affordability
323494,215256,-6.221504,-2.1787627,2,0,0,0,1,Larger-Loan Affordability
189310,319483,2.1563618,-3.52688,0,0,0,0,2,Lower-Intensity Credit Footprint
50174,158087,0.19628263,-2.4683638,0,0,0,0,2,Lower-Intensity Credit Footprint
285474,430620,3.1867464,-1.0559616,0,0,0,0,1,Larger-Loan Affordability
349511,407482,0.35648572,-2.630367,0,0,0,0,2,Lower-Intensity Credit Footprint
251321,390801,3.2057717,1.1256394,3,0,0,0,2,Lower-Intensity Credit Footprint
68571,179528,-5.2511835,-2.742958,2,0,0,0,2,Lower-Intensity Credit Footprint
113159,231242,13.746337,0.5081894,4,0,0,0,2,Lower-Intensity Credit Footprint
169889,296899,-5.7824063,-2.4608734,2,0,0,0,2,Lower-Intensity Credit Footprint
59228,168649,-3.2777917,5.624686,5,0,0,0,4,Historical Card-Use Intensity
166555,293084,2.538186,-0.76421636,0,0,0,0,1,Larger-Loan Affordability
47910,155489,-0.10237689,-1.4352361,0,0,0,0,0,History-Rich Credit User
5291,106185,0.5597762,-4.2304745,0,0,0,0,2,Lower-Intensity Credit Footprint
297039,444139,2.7439547,-4.016717,0,0,0,0,1,Larger-Loan Affordability
213907,347873,0.7036603,-0.20205212,0,0,0,0,0,History-Rich Credit User
276692,420659,1.1999261,-4.934459,0,0,0,0,2,Lower-Intensity Credit Footprint
4877,105702,-1.3786784,6.3539424,1,0,0,0,4,Historical Card-Use Intensity
154709,279328,3.118049,-2.6649168,0,0,0,0,1,Larger-Loan Affordability
289668,435592,-3.600421,7.5458655,6,0,0,0,4,Historical Card-Use Intensity
112273,230243,13.471676,1.2419995,7,0,0,0,1,Larger-Loan Affordability
33851,139224,3.5393538,10.333229,28,0,-1,1,3,Repayment-Stress History
281024,425596,3.7525654,10.083498,8,0,-1,1,4,Historical Card-Use Intensity
232736,369559,0.06153965,-0.4411633,0,0,0,0,0,History-Rich Credit User
269280,412068,2.8227682,-3.0085,0,0,0,0,2,Lower-Intensity Credit Footprint
354607,444123,10.066432,-6.479538,9,0,0,0,2,Lower-Intensity Credit Footprint
334741,298567,1.2549784,-4.0114655,0,0,0,0,2,Lower-Intensity Credit Footprint
263201,404761,-0.68071914,-2.948734,0,0,0,0,2,Lower-Intensity Credit Footprint
209480,342785,1.8515438,-2.6032786,0,0,0,0,1,Larger-Loan Affordability
244779,383314,0.6859621,-3.9143777,0,0,0,0,2,Lower-Intensity Credit Footprint
334046,293136,2.0521908,-2.0801754,0,0,0,0,1,Larger-Loan Affordability
106755,223862,-1.4386815,6.1394453,1,0,0,0,4,Historical Card-Use Intensity
235780,373102,-5.5764756,-1.9019539,2,0,0,0,1,Larger-Loan Affordability
147755,271317,9.980852,-6.401512,9,0,0,0,1,Larger-Loan Affordability
8347,109726,-5.503237,-1.8605692,2,0,0,0,0,History-Rich Credit User
94111,209284,-0.12384012,-1.7761464,0,0,0,0,0,History-Rich Credit User
197415,328886,-0.6263902,-2.5442688,0,0,0,0,2,Lower-Intensity Credit Footprint
145131,268288,2.632443,-1.3862796,0,0,0,0,1,Larger-Loan Affordability
291372,437555,-0.18265092,-3.9017866,0,0,0,0,2,Lower-Intensity Credit Footprint
71982,183479,1.0055218,-2.1914942,0,0,0,0,0,History-Rich Credit User
184677,314064,-3.0800176,5.623873,5,0,0,0,4,Historical Card-Use Intensity
241649,379808,-6.7604675,-1.5822258,2,0,0,0,1,Larger-Loan Affordability
118119,236969,1.4798887,-2.2011664,0,0,0,0,0,History-Rich Credit User
282829,427571,-1.4928912,-1.6456496,-1,1,0,0,0,History-Rich Credit User
244624,383126,2.9210908,-0.6889323,0,0,0,0,1,Larger-Loan Affordability
138041,260086,2.5005085,-1.6754843,0,0,0,0,1,Larger-Loan Affordability
28988,133681,3.2421887,1.00936,3,0,0,0,2,Lower-Intensity Credit Footprint
266681,408953,1.1917002,-0.85401326,0,0,0,0,4,Historical Card-Use Intensity
274529,418197,3.173803,-3.23716,0,0,0,0,1,Larger-Loan Affordability
266065,408214,-0.09578149,0.013557558,0,0,-1,1,0,History-Rich Credit User
141042,263528,-0.78655684,-3.4067123,0,0,0,0,2,Lower-Intensity Credit Footprint
194487,325517,-6.0118036,-2.5790155,2,0,0,0,2,Lower-Intensity Credit Footprint
232247,369007,-1.6198123,6.3955674,1,0,0,0,4,Historical Card-Use Intensity
162001,287807,2.7486084,-4.268165,0,0,0,0,1,Larger-Loan Affordability
242047,380244,2.2621598,3.9602084,10,0,-1,1,3,Repayment-Stress History
66419,177023,-0.16908844,-3.087546,0,0,0,0,2,Lower-Intensity Credit Footprint
313747,145720,-1.3158423,6.725163,1,0,0,0,4,Historical Card-Use Intensity
352215,427138,2.3644588,-3.3048506,0,0,0,0,2,Lower-Intensity Credit Footprint
260697,401695,1.4566772,-0.86644053,0,0,0,0,0,History-Rich Credit User
236110,373481,-0.13032061,0.2438611,0,0,0,0,0,History-Rich Credit User
114968,233308,-3.6683078,7.4199386,6,0,0,0,4,Historical Card-Use Intensity
48763,156471,-2.4498928,5.9442034,1,0,0,0,4,Historical Card-Use Intensity
252238,391857,-0.08750789,-4.0308595,0,0,0,0,2,Lower-Intensity Credit Footprint
318975,183315,0.96986514,-1.4031005,0,0,0,0,0,History-Rich Credit User
238100,375748,-0.07816187,-1.5945561,0,0,0,0,0,History-Rich Credit User
23970,127877,-5.5372376,-3.0240226,2,0,0,0,2,Lower-Intensity Credit Footprint
175164,302977,0.570634,-1.2250586,0,0,0,0,0,History-Rich Credit User
334107,293563,-5.4376874,-2.7210312,2,0,0,0,2,Lower-Intensity Credit Footprint
318722,181288,-0.29050833,-1.798515,0,0,0,0,2,Lower-Intensity Credit Footprint
176434,304444,13.348069,1.6292242,7,0,0,0,1,Larger-Loan Affordability
18006,120999,-0.53417635,-1.9076484,0,0,0,0,2,Lower-Intensity Credit Footprint
287871,433475,-3.2102804,7.790896,6,0,0,0,4,Historical Card-Use Intensity
43539,150403,2.8753211,-3.6568656,0,0,0,0,1,Larger-Loan Affordability
136332,258132,-3.1990108,7.8793373,6,0,0,0,4,Historical Card-Use Intensity
76675,188913,-0.87488717,-3.1545765,0,0,0,0,2,Lower-Intensity Credit Footprint
2875,103354,-3.4757721,7.3186545,6,0,0,0,4,Historical Card-Use Intensity
92480,207389,2.2329378,2.7535536,11,0,0,0,2,Lower-Intensity Credit Footprint
338515,325318,-0.3642031,-3.5924523,0,0,0,0,2,Lower-Intensity Credit Footprint
286145,431402,13.240569,1.1114022,7,0,0,0,1,Larger-Loan Affordability
155664,280445,-1.6392341,6.4720473,1,0,0,0,4,Historical Card-Use Intensity
104710,221507,13.644241,0.3962289,4,0,0,0,2,Lower-Intensity Credit Footprint
247075,385917,0.3702787,-0.5846201,0,0,-1,1,0,History-Rich Credit User
55506,164321,3.633251,-0.8279299,0,0,0,0,1,Larger-Loan Affordability
284186,429117,-1.1718808,7.1664014,1,0,-1,1,4,Historical Card-Use Intensity
120394,239596,13.681318,1.4021231,7,0,0,0,1,Larger-Loan Affordability
25567,129737,-2.4246328,6.5528417,1,0,0,0,1,Larger-Loan Affordability
237103,374629,2.7318091,-2.3466039,0,0,0,0,1,Larger-Loan Affordability
308479,106713,0.6572661,-3.6426306,0,0,0,0,2,Lower-Intensity Credit Footprint
105502,222421,4.1363993,-1.1716622,0,0,0,0,1,Larger-Loan Affordability
16524,119278,-3.3689442,7.681325,6,0,0,0,4,Historical Card-Use Intensity
149113,272880,13.70952,0.5034794,4,0,0,0,2,Lower-Intensity Credit Footprint
35085,140644,1.1344845,-3.1334834,0,0,0,0,2,Lower-Intensity Credit Footprint
